"product_title","location","account_seller","price","review","installment","rating","brand_hp"
"Ken Mobile R7710 Grey","Jakarta","KEN Mobile",199000,432,8292,4.7,"ken"
"OPPO A3s Smartphone AI Beauty 2.0 Camera 2GB/16GB Red","Tangerang","OPPO OFFICIAL STORE",1699000,144,70792,4.8,"oppo"
"Asus Zenfone 5 ZE620KL 4/64 GARANSI RESMI ASUS","Jakarta","Cellular Mas",2830000,454,117917,4.9,"asus"
"OPPO A3s Smartphone AI Beauty 2.0 Camera 2GB/16GB Purple","Tangerang","OPPO OFFICIAL STORE",1699000,195,70792,4.8,"oppo"
"Sony Xperia Z4 Compact Docomo Seken","Kab. Tangerang","Five star cellular",530000,711,22084,4.6,"sony"
"Xiaomi Redmi 6A 2/16 RAM 2GB ROM 16GB GARANSI RESMI TAM","Jakarta","Cellular Mas",1185000,1133,49375,4.9,"xiaomi"
"Sony Xperia Z3 Compact","Kab. Tangerang","Five star cellular",560000,507,23334,4.7,"sony"
"Mi Xiaomi redmi 6a TAM garansi RESMI","Kab. Sragen","AMMA cell",1195700,319,49821,4.9,"xiaomi"
"Samsung Galaxy J2 Prime GARANSI RESMI SEIN","Jakarta","Cellular Mas",1125000,2486,46875,4.9,"samsung"
"Samsung Galaxy A50 4/64 RAM 4GB ROM 64GB GARANSI RESMI SEIN","Jakarta","Cellular Mas",3380000,388,140834,4.9,"samsung"
"Sony Xperia Z5 Compact Docomo RAM 2 32GB Seken Original","Jakarta","InboxStore88",610000,162,25417,4.8,"sony"
"xiaomi redmi 6a tam","Surabaya","Lautan-emas",1189999,488,49584,5,"xiaomi"
"Xiaomi Redmi 6a ram 2/16 garansi Resmi Tam","Bekasi","HAPPY CELL mobile shop",1195000,433,49792,5,"xiaomi"
"NOKIA 106 NEW 2018 GARANSI RESMI NOKIA INDONESIA","Jakarta","NOKIA e-store",215900,218,8996,4.9,"nokia"
"xiaomi redmi 6a garansi resmi TAM 2/16 bukan repacking","Kab. Bantul","DRElektronik",1195000,442,49792,4.9,"xiaomi"
"Sony Xperia Z5 Compact Original Mulus bekas","Tangerang","Asia ponsel88",620000,123,25834,4.6,"sony"
"Xiaomi redmi 6a TAM","Malang","I KI CELL",1200000,425,50000,5,"xiaomi"
"Samsung Galaxy J2 Prime RESMI SEIN (WARNA RANDOM)","Jakarta","Brightberry Shop",1120000,281,46667,4.9,"samsung"
"Realme 3 Ram 3/32 GB Garansi Resmi 1 Tahun","Jakarta","Supplier Sparepart HP",1850000,201,77084,4.9,"realme"
"Redmi 6A 16Gb Garansi resmi TAM","Malang","Bajoel and Brother",1200000,305,50000,5,"xiaomi"
"Sony Xperia XZ Seken Ori","Kab. Tangerang","Five star cellular",980000,228,40834,4.7,"sony"
