InvoiceNo,UniqueItem,TotalPrice,CustomerID,Country,InvoiceDate
536365,7,139.12,17850.0,United Kingdom,2010-12-01 08:26:00
536366,2,22.2,17850.0,United Kingdom,2010-12-01 08:28:00
536367,12,278.73,13047.0,United Kingdom,2010-12-01 08:34:00
536368,4,70.05,13047.0,United Kingdom,2010-12-01 08:34:00
536369,1,17.85,13047.0,United Kingdom,2010-12-01 08:35:00
536370,20,855.86,12583.0,France,2010-12-01 08:45:00
536371,1,204.0,13748.0,United Kingdom,2010-12-01 09:00:00
536372,2,22.2,17850.0,United Kingdom,2010-12-01 09:01:00
536373,16,259.86,17850.0,United Kingdom,2010-12-01 09:02:00
536374,1,350.4,15100.0,United Kingdom,2010-12-01 09:09:00
536375,16,259.86,17850.0,United Kingdom,2010-12-01 09:32:00
536376,2,328.8,15291.0,United Kingdom,2010-12-01 09:32:00
536377,2,22.2,17850.0,United Kingdom,2010-12-01 09:34:00
536378,19,444.98,14688.0,United Kingdom,2010-12-01 09:37:00
536380,1,34.8,17809.0,United Kingdom,2010-12-01 09:41:00
536381,34,449.98,15311.0,United Kingdom,2010-12-01 09:41:00
536382,12,430.6,16098.0,United Kingdom,2010-12-01 09:45:00
536384,13,489.6,18074.0,United Kingdom,2010-12-01 09:53:00
536385,7,130.85,17420.0,United Kingdom,2010-12-01 09:56:00
536386,3,508.2,16029.0,United Kingdom,2010-12-01 09:57:00
536387,5,3193.92,16029.0,United Kingdom,2010-12-01 09:58:00
536388,14,226.14,16250.0,United Kingdom,2010-12-01 09:59:00
536389,14,358.25,12431.0,Australia,2010-12-01 10:03:00
536390,24,1825.74,17511.0,United Kingdom,2010-12-01 10:19:00
536392,10,318.14,13705.0,United Kingdom,2010-12-01 10:29:00
536393,1,79.6,13747.0,United Kingdom,2010-12-01 10:37:00
536394,11,1024.68,13408.0,United Kingdom,2010-12-01 10:39:00
536395,14,507.88,13767.0,United Kingdom,2010-12-01 10:47:00
536396,18,376.36,17850.0,United Kingdom,2010-12-01 10:51:00
536397,2,279.0,17924.0,United Kingdom,2010-12-01 10:51:00
536398,17,426.56,13448.0,United Kingdom,2010-12-01 10:52:00
536399,2,22.2,17850.0,United Kingdom,2010-12-01 10:52:00
536400,1,17.4,13448.0,United Kingdom,2010-12-01 10:53:00
536401,64,354.23,15862.0,United Kingdom,2010-12-01 11:21:00
536402,3,357.0,15513.0,United Kingdom,2010-12-01 11:22:00
536403,2,192.6,12791.0,Netherlands,2010-12-01 11:27:00
536404,28,471.3,16218.0,United Kingdom,2010-12-01 11:29:00
536405,1,326.4,14045.0,United Kingdom,2010-12-01 11:32:00
536406,17,353.14,17850.0,United Kingdom,2010-12-01 11:33:00
536407,2,22.2,17850.0,United Kingdom,2010-12-01 11:34:00
536408,48,783.11,14307.0,United Kingdom,2010-12-01 11:41:00
536409,51,243.28,17908.0,United Kingdom,2010-12-01 11:45:00
536412,54,514.41,17920.0,United Kingdom,2010-12-01 11:49:00
536414,1,0.0,,United Kingdom,2010-12-01 11:52:00
536415,59,390.79,12838.0,United Kingdom,2010-12-01 11:57:00
536416,6,225.7,13255.0,United Kingdom,2010-12-01 11:58:00
536420,14,233.45,16583.0,United Kingdom,2010-12-01 12:03:00
536423,9,303.9,18085.0,United Kingdom,2010-12-01 12:08:00
536425,17,362.45,13758.0,United Kingdom,2010-12-01 12:08:00
536437,6,842.12,13694.0,United Kingdom,2010-12-01 12:12:00
536446,28,440.89,15983.0,United Kingdom,2010-12-01 12:15:00
536460,14,295.54,14849.0,United Kingdom,2010-12-01 12:22:00
536463,1,17.4,14849.0,United Kingdom,2010-12-01 12:22:00
536464,74,277.35,17968.0,United Kingdom,2010-12-01 12:23:00
536466,2,42.9,14849.0,United Kingdom,2010-12-01 12:23:00
536477,14,2474.74,16210.0,United Kingdom,2010-12-01 12:27:00
536488,31,165.89,17897.0,United Kingdom,2010-12-01 12:31:00
536500,15,223.9,17377.0,United Kingdom,2010-12-01 12:35:00
536502,5,95.29,16552.0,United Kingdom,2010-12-01 12:36:00
536508,2,155.52,17181.0,United Kingdom,2010-12-01 12:38:00
536514,5,295.5,17951.0,United Kingdom,2010-12-01 12:40:00
536520,69,313.49,14729.0,United Kingdom,2010-12-01 12:43:00
536521,1,4.95,12748.0,United Kingdom,2010-12-01 12:48:00
536522,46,191.06,15012.0,United Kingdom,2010-12-01 12:49:00
536523,12,203.3,12868.0,United Kingdom,2010-12-01 12:50:00
536524,4,70.8,17572.0,United Kingdom,2010-12-01 12:51:00
536525,13,136.24,14078.0,United Kingdom,2010-12-01 12:54:00
536526,9,301.24,14001.0,United Kingdom,2010-12-01 12:58:00
536527,15,261.48,12662.0,Germany,2010-12-01 13:04:00
536528,44,313.93,15525.0,United Kingdom,2010-12-01 13:17:00
536529,9,161.0,14237.0,United Kingdom,2010-12-01 13:20:00
536530,22,201.75,17905.0,United Kingdom,2010-12-01 13:21:00
536531,22,950.09,15485.0,United Kingdom,2010-12-01 13:23:00
536532,73,1919.14,12433.0,Norway,2010-12-01 13:24:00
536533,6,156.1,16955.0,United Kingdom,2010-12-01 13:31:00
536534,5,115.65,15350.0,United Kingdom,2010-12-01 13:33:00
536535,12,194.85,15605.0,United Kingdom,2010-12-01 13:38:00
536536,3,165.05,18144.0,United Kingdom,2010-12-01 13:45:00
536537,11,369.5,15922.0,United Kingdom,2010-12-01 13:51:00
536538,31,255.0,14594.0,United Kingdom,2010-12-01 13:54:00
536539,27,487.75,15165.0,United Kingdom,2010-12-01 14:03:00
536540,20,540.38,14911.0,EIRE,2010-12-01 14:05:00
536541,1,15.0,14911.0,EIRE,2010-12-01 14:05:00
536542,16,787.4,16456.0,United Kingdom,2010-12-01 14:11:00
536544,523,5521.14,,United Kingdom,2010-12-01 14:32:00
536545,1,0.0,,United Kingdom,2010-12-01 14:32:00
536546,1,0.0,,United Kingdom,2010-12-01 14:33:00
536547,1,0.0,,United Kingdom,2010-12-01 14:33:00
536549,1,0.0,,United Kingdom,2010-12-01 14:34:00
536550,1,0.0,,United Kingdom,2010-12-01 14:34:00
536551,29,146.61,17346.0,United Kingdom,2010-12-01 14:34:00
536552,1,0.0,,United Kingdom,2010-12-01 14:34:00
536553,1,0.0,,United Kingdom,2010-12-01 14:35:00
536554,1,0.0,,United Kingdom,2010-12-01 14:35:00
536555,2,2.97,,United Kingdom,2010-12-01 14:37:00
536556,8,101.55,17643.0,United Kingdom,2010-12-01 14:38:00
536557,62,537.38,17841.0,United Kingdom,2010-12-01 14:41:00
536558,1,99.75,,United Kingdom,2010-12-01 14:48:00
536559,7,215.15,17873.0,United Kingdom,2010-12-01 14:54:00
536560,13,799.4,13093.0,United Kingdom,2010-12-01 15:00:00
536561,15,322.4,12921.0,United Kingdom,2010-12-01 15:06:00
536562,18,308.65,13468.0,United Kingdom,2010-12-01 15:08:00
536563,9,172.54,17760.0,United Kingdom,2010-12-01 15:08:00
536564,2,51.4,13468.0,United Kingdom,2010-12-01 15:08:00
536565,2,6.7,,United Kingdom,2010-12-01 15:15:00
536566,6,116.25,16928.0,United Kingdom,2010-12-01 15:21:00
536567,7,251.4,16048.0,United Kingdom,2010-12-01 15:27:00
536568,1,5.04,16048.0,United Kingdom,2010-12-01 15:28:00
536569,64,357.95,16274.0,United Kingdom,2010-12-01 15:35:00
536570,5,304.34,14496.0,United Kingdom,2010-12-01 15:35:00
536571,18,294.62,14696.0,United Kingdom,2010-12-01 15:37:00
536572,21,442.35,16539.0,United Kingdom,2010-12-01 15:40:00
536573,4,143.12,17025.0,United Kingdom,2010-12-01 15:45:00
536574,1,17.85,17025.0,United Kingdom,2010-12-01 15:46:00
536575,8,1552.98,13777.0,United Kingdom,2010-12-01 16:01:00
536576,16,2558.42,13777.0,United Kingdom,2010-12-01 16:11:00
536577,4,497.0,13777.0,United Kingdom,2010-12-01 16:13:00
536578,8,279.6,17690.0,United Kingdom,2010-12-01 16:15:00
536579,2,315.96,13777.0,United Kingdom,2010-12-01 16:16:00
536580,6,97.2,17690.0,United Kingdom,2010-12-01 16:17:00
536581,1,330.0,13777.0,United Kingdom,2010-12-01 16:19:00
536582,17,304.04,12947.0,United Kingdom,2010-12-01 16:21:00
536583,1,198.0,13777.0,United Kingdom,2010-12-01 16:21:00
536584,1,1132.8,13777.0,United Kingdom,2010-12-01 16:22:00
536585,1,19.9,17460.0,United Kingdom,2010-12-01 16:24:00
536586,7,344.2,18229.0,United Kingdom,2010-12-01 16:25:00
536587,22,311.81,14142.0,United Kingdom,2010-12-01 16:33:00
536588,11,277.05,17069.0,United Kingdom,2010-12-01 16:49:00
536589,1,0.0,,United Kingdom,2010-12-01 16:50:00
536590,14,205.86,13065.0,United Kingdom,2010-12-01 16:52:00
536591,40,198.32,14606.0,United Kingdom,2010-12-01 16:57:00
536592,590,6915.65,,United Kingdom,2010-12-01 17:06:00
536593,5,81.75,16835.0,United Kingdom,2010-12-01 17:15:00
536594,5,79.5,15235.0,United Kingdom,2010-12-01 17:22:00
536595,11,349.15,13576.0,United Kingdom,2010-12-01 17:24:00
536596,6,38.09,,United Kingdom,2010-12-01 17:29:00
536597,28,102.79,18011.0,United Kingdom,2010-12-01 17:35:00
536598,4,160.6,13090.0,United Kingdom,2010-12-02 07:48:00
536599,6,306.4,15694.0,United Kingdom,2010-12-02 07:49:00
536600,12,251.62,17850.0,United Kingdom,2010-12-02 08:32:00
536601,2,22.2,17850.0,United Kingdom,2010-12-02 08:33:00
536602,12,163.76,17850.0,United Kingdom,2010-12-02 08:34:00
536603,2,22.2,17850.0,United Kingdom,2010-12-02 08:40:00
536604,9,184.5,14741.0,United Kingdom,2010-12-02 08:43:00
536605,15,272.65,13715.0,United Kingdom,2010-12-02 08:52:00
536607,18,303.97,17732.0,United Kingdom,2010-12-02 09:29:00
536608,3,38.1,12855.0,United Kingdom,2010-12-02 09:37:00
536609,16,244.46,17850.0,United Kingdom,2010-12-02 09:41:00
536610,2,22.2,17850.0,United Kingdom,2010-12-02 09:42:00
536611,14,259.65,15752.0,United Kingdom,2010-12-02 09:43:00
536612,15,206.76,17850.0,United Kingdom,2010-12-02 09:44:00
536613,17,208.97,17855.0,United Kingdom,2010-12-02 09:44:00
536614,2,22.2,17850.0,United Kingdom,2010-12-02 09:44:00
536615,12,286.92,14047.0,United Kingdom,2010-12-02 10:09:00
536616,1,244.08,17925.0,United Kingdom,2010-12-02 10:10:00
536617,11,1095.12,13941.0,United Kingdom,2010-12-02 10:17:00
536618,21,780.12,17017.0,United Kingdom,2010-12-02 10:17:00
536619,2,97.2,17017.0,United Kingdom,2010-12-02 10:18:00
536620,23,485.25,14135.0,United Kingdom,2010-12-02 10:27:00
536621,10,350.06,13108.0,United Kingdom,2010-12-02 10:35:00
536623,48,768.38,15601.0,United Kingdom,2010-12-02 10:39:00
536624,22,610.64,13418.0,United Kingdom,2010-12-02 10:45:00
536626,1,12.6,13418.0,United Kingdom,2010-12-02 10:46:00
536627,14,306.2,15658.0,United Kingdom,2010-12-02 10:53:00
536628,16,230.56,17850.0,United Kingdom,2010-12-02 10:54:00
536629,2,22.2,17850.0,United Kingdom,2010-12-02 10:55:00
536630,16,244.46,17850.0,United Kingdom,2010-12-02 10:56:00
536631,2,22.2,17850.0,United Kingdom,2010-12-02 10:58:00
536632,21,312.8,14388.0,United Kingdom,2010-12-02 11:02:00
536633,18,204.15,14901.0,United Kingdom,2010-12-02 11:20:00
536634,14,193.78,18041.0,United Kingdom,2010-12-02 11:21:00
536635,20,572.38,15955.0,United Kingdom,2010-12-02 11:22:00
536636,1,106.2,15070.0,United Kingdom,2010-12-02 11:23:00
536637,55,235.16,18041.0,United Kingdom,2010-12-02 11:35:00
536638,63,1056.63,16244.0,United Kingdom,2010-12-02 11:41:00
536639,16,288.5,15111.0,United Kingdom,2010-12-02 11:45:00
536640,11,45.85,,United Kingdom,2010-12-02 11:45:00
536641,1,4.25,12748.0,United Kingdom,2010-12-02 11:46:00
536643,26,223.7,14390.0,United Kingdom,2010-12-02 11:57:00
536663,6,299.4,16546.0,United Kingdom,2010-12-02 12:07:00
536667,16,362.5,15260.0,United Kingdom,2010-12-02 12:09:00
536670,1,58.0,15260.0,United Kingdom,2010-12-02 12:09:00
536671,5,136.2,13305.0,United Kingdom,2010-12-02 12:10:00
536672,4,127.2,14491.0,United Kingdom,2010-12-02 12:10:00
536673,8,339.84,14060.0,United Kingdom,2010-12-02 12:11:00
536674,21,127.08,15923.0,United Kingdom,2010-12-02 12:16:00
536676,9,207.5,16752.0,United Kingdom,2010-12-02 12:18:00
536681,13,113.92,17287.0,United Kingdom,2010-12-02 12:22:00
536685,17,380.46,17850.0,United Kingdom,2010-12-02 12:23:00
536688,2,22.2,17850.0,United Kingdom,2010-12-02 12:24:00
536690,17,331.26,17850.0,United Kingdom,2010-12-02 12:25:00
536693,2,22.2,17850.0,United Kingdom,2010-12-02 12:26:00
536698,16,326.0,15363.0,United Kingdom,2010-12-02 12:28:00
536707,13,199.65,12915.0,United Kingdom,2010-12-02 12:33:00
536732,26,354.54,15544.0,United Kingdom,2010-12-02 12:47:00
536733,14,329.65,15738.0,United Kingdom,2010-12-02 12:50:00
536735,1,211.2,17381.0,United Kingdom,2010-12-02 12:58:00
536736,5,824.88,17381.0,United Kingdom,2010-12-02 12:59:00
536738,7,98.18,15827.0,United Kingdom,2010-12-02 13:06:00
536739,12,201.75,14180.0,United Kingdom,2010-12-02 13:08:00
536740,7,92.75,15827.0,United Kingdom,2010-12-02 13:08:00
536741,15,202.12,13117.0,United Kingdom,2010-12-02 13:11:00
536742,48,198.08,16916.0,United Kingdom,2010-12-02 13:14:00
536743,35,261.76,17964.0,United Kingdom,2010-12-02 13:32:00
536744,10,379.75,14466.0,United Kingdom,2010-12-02 13:36:00
536745,10,341.9,17235.0,United Kingdom,2010-12-02 13:38:00
536746,13,248.1,16510.0,United Kingdom,2010-12-02 13:39:00
536747,12,100.2,17802.0,United Kingdom,2010-12-02 13:44:00
536748,5,116.0,15107.0,United Kingdom,2010-12-02 13:45:00
536749,56,353.19,17976.0,United Kingdom,2010-12-02 13:49:00
536750,19,434.8,17850.0,United Kingdom,2010-12-02 14:04:00
536751,2,22.2,17850.0,United Kingdom,2010-12-02 14:05:00
536752,19,390.66,17850.0,United Kingdom,2010-12-02 14:06:00
536753,2,22.2,17850.0,United Kingdom,2010-12-02 14:07:00
536754,50,210.24,14449.0,United Kingdom,2010-12-02 14:09:00
536755,15,54.25,,United Kingdom,2010-12-02 14:14:00
536756,19,66.65,,United Kingdom,2010-12-02 14:23:00
536759,17,311.25,16781.0,United Kingdom,2010-12-02 14:26:00
536761,7,98.9,13491.0,United Kingdom,2010-12-02 14:30:00
536762,20,307.68,16186.0,United Kingdom,2010-12-02 14:40:00
536763,12,452.52,17685.0,United Kingdom,2010-12-02 14:42:00
536764,1,0.0,,United Kingdom,2010-12-02 14:42:00
536765,1,0.0,,United Kingdom,2010-12-02 14:43:00
536769,31,668.4,17581.0,United Kingdom,2010-12-02 14:47:00
536771,7,118.38,17581.0,United Kingdom,2010-12-02 14:49:00
536777,5,138.1,15732.0,United Kingdom,2010-12-02 15:00:00
536778,14,193.23,13138.0,United Kingdom,2010-12-02 15:03:00
536779,1,15.0,15823.0,United Kingdom,2010-12-02 15:08:00
536780,4,12.8,,United Kingdom,2010-12-02 15:09:00
536781,1,50.4,17460.0,United Kingdom,2010-12-02 15:14:00
536782,27,517.95,17567.0,United Kingdom,2010-12-02 15:18:00
536783,38,4076.48,15061.0,United Kingdom,2010-12-02 15:19:00
536784,25,2170.9,15061.0,United Kingdom,2010-12-02 15:20:00
536785,6,2730.96,15061.0,United Kingdom,2010-12-02 15:22:00
536786,2,324.0,15061.0,United Kingdom,2010-12-02 15:23:00
536787,13,192.46,17850.0,United Kingdom,2010-12-02 15:24:00
536788,1,75.0,15061.0,United Kingdom,2010-12-02 15:25:00
536789,2,22.2,17850.0,United Kingdom,2010-12-02 15:25:00
536790,17,532.01,17850.0,United Kingdom,2010-12-02 15:26:00
536791,2,44.4,17850.0,United Kingdom,2010-12-02 15:27:00
536792,1,30.0,15061.0,United Kingdom,2010-12-02 15:28:00
536793,11,170.7,16203.0,United Kingdom,2010-12-02 15:39:00
536794,4,322.8,13767.0,United Kingdom,2010-12-02 15:40:00
536795,7,333.72,15640.0,United Kingdom,2010-12-02 15:40:00
536796,96,375.65,15574.0,United Kingdom,2010-12-02 15:46:00
536797,6,130.8,16770.0,United Kingdom,2010-12-02 15:49:00
536798,29,717.16,17838.0,United Kingdom,2010-12-02 15:55:00
536799,18,183.3,17228.0,United Kingdom,2010-12-02 16:00:00
536800,19,236.97,14829.0,United Kingdom,2010-12-02 16:12:00
536801,14,252.3,,United Kingdom,2010-12-02 16:12:00
536802,8,197.3,17412.0,United Kingdom,2010-12-02 16:29:00
536803,1,22.5,14911.0,EIRE,2010-12-02 16:33:00
536804,25,1714.25,14031.0,United Kingdom,2010-12-02 16:34:00
536805,20,406.56,14775.0,United Kingdom,2010-12-02 16:38:00
536806,5,45.12,12971.0,United Kingdom,2010-12-02 16:42:00
536808,12,247.8,17659.0,United Kingdom,2010-12-02 16:46:00
536809,1,1003.2,15299.0,United Kingdom,2010-12-02 16:48:00
536810,1,303.96,15299.0,United Kingdom,2010-12-02 16:50:00
536811,1,527.85,15299.0,United Kingdom,2010-12-02 16:51:00
536813,17,189.8,15646.0,United Kingdom,2010-12-02 16:59:00
536819,17,308.28,13402.0,United Kingdom,2010-12-02 17:12:00
536821,23,143.45,17757.0,United Kingdom,2010-12-02 17:17:00
536823,3,50.55,13011.0,United Kingdom,2010-12-02 17:22:00
536824,1,408.0,13798.0,United Kingdom,2010-12-02 17:24:00
536830,2,2002.4,16754.0,United Kingdom,2010-12-02 17:38:00
536831,4,569.4,16029.0,United Kingdom,2010-12-02 17:40:00
536832,8,164.8,16634.0,United Kingdom,2010-12-02 17:41:00
536833,29,438.1,18239.0,United Kingdom,2010-12-02 17:48:00
536834,1,35.4,14576.0,United Kingdom,2010-12-02 17:51:00
536835,1,295.0,13145.0,United Kingdom,2010-12-02 18:06:00
536836,26,263.3,18168.0,United Kingdom,2010-12-02 18:08:00
536837,27,308.68,14395.0,United Kingdom,2010-12-02 18:15:00
536838,3,37.2,14865.0,United Kingdom,2010-12-02 18:23:00
536839,16,623.73,15093.0,United Kingdom,2010-12-02 18:25:00
