"satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","division","salary","left"
0.82,0.68,3,140,2,0,0,"sales","low",0
0.79,0.67,5,156,2,0,0,"product_mng","low",0
0.73,0.95,3,149,2,0,0,"support","low",0
0.92,0.78,3,218,3,0,0,"technical","low",0
0.69,1,5,237,3,0,0,"technical","high",0
0.98,0.97,3,209,3,0,0,"support","low",0
0.52,0.9,4,285,2,0,0,"hr","low",0
0.51,0.73,4,229,3,0,0,"sales","low",0
0.88,0.99,3,190,5,0,0,"technical","high",0
0.76,0.85,3,192,3,0,0,"marketing","low",0
0.55,0.55,4,257,3,0,0,"product_mng","low",0
0.43,0.46,2,186,2,0,0,"product_mng","low",0
0.8,0.87,5,251,3,0,0,"sales","medium",0
0.64,0.67,5,167,2,0,0,"sales","low",0
0.84,0.37,5,186,2,0,0,"technical","medium",0
0.53,0.55,5,224,2,1,0,"hr","low",0
0.68,0.97,3,250,3,1,0,"product_mng","medium",0
0.47,0.46,2,152,2,0,0,"IT","medium",0
0.8,0.62,3,191,3,0,0,"support","medium",0
0.58,0.43,6,132,3,0,0,"sales","low",0
0.74,0.85,5,135,2,0,0,"support","low",0
0.81,0.62,4,153,4,0,0,"RandD","low",0
0.89,0.71,4,190,3,0,0,"RandD","low",0
0.27,0.76,4,108,10,0,0,"sales","medium",0
0.38,0.68,5,211,6,0,0,"technical","low",0
0.44,0.58,2,157,2,0,0,"sales","low",0
0.62,0.77,3,204,4,0,0,"sales","high",0
0.98,0.79,4,138,3,0,0,"accounting","low",0
0.75,0.81,2,247,4,0,0,"hr","low",0
0.89,0.56,4,159,3,0,0,"product_mng","medium",0
0.64,0.95,3,154,4,0,0,"technical","high",0
0.49,0.88,4,244,3,0,0,"sales","low",0
0.74,0.85,2,189,3,0,0,"support","low",0
0.24,0.81,4,217,5,0,0,"sales","medium",0
0.84,0.75,2,168,2,0,0,"technical","low",0
0.24,0.54,4,226,4,1,0,"accounting","medium",0
1,0.99,4,184,4,0,0,"support","low",0
0.28,0.37,3,164,4,1,0,"accounting","low",0
0.12,0.6,2,194,4,0,0,"technical","medium",0
0.7,0.8,4,183,2,0,0,"support","medium",0
0.63,0.79,2,206,5,0,0,"product_mng","low",0
0.65,0.61,5,167,8,0,0,"sales","low",0
0.78,0.96,3,202,4,1,0,"marketing","medium",0
0.49,0.87,3,212,2,0,0,"product_mng","medium",0
0.61,0.42,2,103,8,0,0,"marketing","medium",0
0.32,0.72,2,240,5,0,0,"IT","low",0
0.8,0.75,4,224,3,0,1,"sales","medium",0
0.68,0.83,5,267,3,0,0,"RandD","medium",0
0.97,0.6,3,169,2,1,0,"product_mng","low",0
0.14,0.79,5,271,4,0,0,"management","high",0
0.72,0.39,5,111,5,0,0,"support","low",0
0.64,0.66,5,157,2,0,0,"product_mng","low",0
0.9,0.56,3,220,3,0,0,"sales","low",0
0.91,0.97,4,139,3,0,0,"support","medium",0
0.52,0.59,5,150,2,0,0,"sales","low",0
